,election,race,candidate,votes
0,2019 Municipal General - 2/26/19,Alderman 16th Ward,STEPHANIE D. COLEMAN,2464
1,2019 Municipal General - 2/26/19,Alderman 16th Ward,LATASHA M. SANDERS,540
2,2019 Municipal General - 2/26/19,Alderman 16th Ward,KENNY C. DOSS II,364
3,2019 Municipal General - 2/26/19,Alderman 16th Ward,TONI L. FOULKES,1758
4,2019 Municipal General - 2/26/19,Alderman 16th Ward,JEFFREY L. LEWIS,88
5,2019 Municipal General - 2/26/19,Alderman 16th Ward,EDDIE JOHNSON III,371
0,2019 Municipal General - 2/26/19,Alderman 17th Ward,DAVID H. MOORE,5316
1,2019 Municipal General - 2/26/19,Alderman 17th Ward,RAYNETTA GREENLEAF,2594
0,2019 Municipal General - 2/26/19,Alderman 18th Ward,CHUKS ONYEZIA,3904
1,2019 Municipal General - 2/26/19,Alderman 18th Ward,DERRICK G. CURTIS,8050
0,2019 Municipal General - 2/26/19,Alderman 19th Ward,MATTHEW J. O'SHEA,17654
1,2019 Municipal General - 2/26/19,Alderman 19th Ward,DAVID A. DEWAR,3056
0,2019 Municipal General - 2/26/19,Alderman 20th Ward,JEANETTE B TAYLOR,2154
1,2019 Municipal General - 2/26/19,Alderman 20th Ward,NICOLE J. JOHNSON,1644
2,2019 Municipal General - 2/26/19,Alderman 20th Ward,MAYA HODARI,701
3,2019 Municipal General - 2/26/19,Alderman 20th Ward,JENNIFER O. MADDOX,460
4,2019 Municipal General - 2/26/19,Alderman 20th Ward,ANDRE SMITH,600
5,2019 Municipal General - 2/26/19,Alderman 20th Ward,DERNARD D. NEWELL,71
6,2019 Municipal General - 2/26/19,Alderman 20th Ward,QUANDRA V. SPEIGHTS,157
7,2019 Municipal General - 2/26/19,Alderman 20th Ward,KEVIN M. BAILEY,1211
8,2019 Municipal General - 2/26/19,Alderman 20th Ward,"ANTHONY DRIVER, JR.",486
0,2019 Municipal General - 2/26/19,Alderman 21st Ward,"HOWARD B. BROOKINS, JR.",5700
1,2019 Municipal General - 2/26/19,Alderman 21st Ward,MARVIN MCNEIL,3143
2,2019 Municipal General - 2/26/19,Alderman 21st Ward,PATRICIA A. FOSTER,2382
3,2019 Municipal General - 2/26/19,Alderman 21st Ward,"JOSEPH C. ZIEGLER, JR.",1215
0,2019 Municipal General - 2/26/19,Alderman 22nd Ward,MICHAEL D. RODRIGUEZ,3104
1,2019 Municipal General - 2/26/19,Alderman 22nd Ward,LISETTE ''LIZ'' LOPEZ,675
2,2019 Municipal General - 2/26/19,Alderman 22nd Ward,RICHARD JUAREZ,610
3,2019 Municipal General - 2/26/19,Alderman 22nd Ward,NEFTALIE GONZALEZ,476
0,2019 Municipal General - 2/26/19,Alderman 23rd Ward,SILVANA TABARES,6702
1,2019 Municipal General - 2/26/19,Alderman 23rd Ward,"PAULINO VILLARREAL, JR.",2097
0,2019 Municipal General - 2/26/19,Alderman 24th Ward,CREATIVE SCOTT,1191
1,2019 Municipal General - 2/26/19,Alderman 24th Ward,"MICHAEL  SCOTT, JR.",3809
2,2019 Municipal General - 2/26/19,Alderman 24th Ward,TORIANO A. SANZONE,364
3,2019 Municipal General - 2/26/19,Alderman 24th Ward,TRACI JOHNSON,991
0,2019 Municipal General - 2/26/19,Alderman 25th Ward,HILARIO DOMINGUEZ,2056
1,2019 Municipal General - 2/26/19,Alderman 25th Ward,ALEXANDER ACEVEDO,2182
2,2019 Municipal General - 2/26/19,Alderman 25th Ward,TROY ANTONIO HERNANDEZ,835
3,2019 Municipal General - 2/26/19,Alderman 25th Ward,BYRON SIGCHO-LOPEZ,2885
4,2019 Municipal General - 2/26/19,Alderman 25th Ward,AIDA FLORES,1912
0,2019 Municipal General - 2/26/19,Alderman 26th Ward,THERESA SIAW,2467
1,2019 Municipal General - 2/26/19,Alderman 26th Ward,ROBERTO MALDONADO,4431
2,2019 Municipal General - 2/26/19,Alderman 26th Ward,DAVID HERRERA,1866
0,2019 Municipal General - 2/26/19,Alderman 27th Ward,"WALTER BURNETT, JR.",6962
1,2019 Municipal General - 2/26/19,Alderman 27th Ward,CYNTHIA D. BEDNARZ,3191
0,2019 Municipal General - 2/26/19,Alderman 28th Ward,MIGUEL BAUTISTA,1122
1,2019 Municipal General - 2/26/19,Alderman 28th Ward,JASON C. ERVIN,4954
2,2019 Municipal General - 2/26/19,Alderman 28th Ward,JASMINE JACKSON,1230
3,2019 Municipal General - 2/26/19,Alderman 28th Ward,BEVERLY MILES,764
0,2019 Municipal General - 2/26/19,Alderman 29th Ward,DWAYNE TRUSS,2915
1,2019 Municipal General - 2/26/19,Alderman 29th Ward,CHRIS TALIAFERRO,6235
2,2019 Municipal General - 2/26/19,Alderman 29th Ward,ZERLINA A. SMITH,1469
0,2019 Municipal General - 2/26/19,Alderman 30th Ward,JESSICA W. GUTIERREZ,3536
1,2019 Municipal General - 2/26/19,Alderman 30th Ward,ARIEL E. REBOYRAS,3563
2,2019 Municipal General - 2/26/19,Alderman 30th Ward,EDGAR ''EDEK'' ESPARZA,339
0,2019 Municipal General - 2/26/19,Alderman 31st Ward,COLIN BIRD-MARTINEZ,1699
1,2019 Municipal General - 2/26/19,Alderman 31st Ward,MILAGROS SANTIAGO,2588
2,2019 Municipal General - 2/26/19,Alderman 31st Ward,FELIX CARDONA JR.,2132
0,2019 Municipal General - 2/26/19,Alderman 32nd Ward,SCOTT WAGUESPACK,11519
0,2019 Municipal General - 2/26/19,Alderman 33rd Ward,KATIE SIERACKI,1822
1,2019 Municipal General - 2/26/19,Alderman 33rd Ward,R. RODRIGUEZ SANCHEZ,4598
2,2019 Municipal General - 2/26/19,Alderman 33rd Ward,DEBORAH L. MELL,4515
0,2019 Municipal General - 2/26/19,Alderman 34th Ward,CARRIE M. AUSTIN,6306
1,2019 Municipal General - 2/26/19,Alderman 34th Ward,PRESTON BROWN JR,5294
0,2019 Municipal General - 2/26/19,Alderman 35th Ward,AMANDA YU DIETERICH,3208
1,2019 Municipal General - 2/26/19,Alderman 35th Ward,CARLOS  RAMIREZ-ROSA,4700
0,2019 Municipal General - 2/26/19,Alderman 36th Ward,GILBERT VILLEGAS,5376
0,2019 Municipal General - 2/26/19,Alderman 37th Ward,EMMA M. MITTS,4151
1,2019 Municipal General - 2/26/19,Alderman 37th Ward,TARA STAMPS,3083
2,2019 Municipal General - 2/26/19,Alderman 37th Ward,DEONDRE RUTUES,436
0,2019 Municipal General - 2/26/19,Alderman 38th Ward,NICHOLAS SPOSATO,9340
0,2019 Municipal General - 2/26/19,Alderman 39th Ward,ROBERT MURPHY,3914
1,2019 Municipal General - 2/26/19,Alderman 39th Ward,SAMANTHA ''SAM'' NUGENT,4396
2,2019 Municipal General - 2/26/19,Alderman 39th Ward,CASEY SMAGALA,3644
3,2019 Municipal General - 2/26/19,Alderman 39th Ward,JOE DUPLECHIN,1287
0,2019 Municipal General - 2/26/19,Alderman 40th Ward,UGO OKERE,1870
1,2019 Municipal General - 2/26/19,Alderman 40th Ward,DIANNE DALEIDEN,2296
2,2019 Municipal General - 2/26/19,Alderman 40th Ward,ANDRÃ‰ VASQUEZ,2683
3,2019 Municipal General - 2/26/19,Alderman 40th Ward,PATRICK J. O'CONNOR,4446
4,2019 Municipal General - 2/26/19,Alderman 40th Ward,MAGGIE O'KEEFE,2058
0,2019 Municipal General - 2/26/19,Alderman 41st Ward,TIM HENEGHAN,5289
1,2019 Municipal General - 2/26/19,Alderman 41st Ward,ANTHONY V. NAPOLITANO,12502
0,2019 Municipal General - 2/26/19,Alderman 42nd Ward,BRENDAN REILLY,11129
0,2019 Municipal General - 2/26/19,Alderman 43rd Ward,DEREK LINDBLOM,3913
1,2019 Municipal General - 2/26/19,Alderman 43rd Ward,MICHELE SMITH,5486
2,2019 Municipal General - 2/26/19,Alderman 43rd Ward,LESLIE FOX,1892
3,2019 Municipal General - 2/26/19,Alderman 43rd Ward,JACOB RINGER,1776
4,2019 Municipal General - 2/26/19,Alderman 43rd Ward,STEVEN MCCLELLAN,325
5,2019 Municipal General - 2/26/19,Alderman 43rd Ward,REBECCA JANOWITZ,681
0,2019 Municipal General - 2/26/19,Alderman 44th Ward,TOM TUNNEY,9734
1,2019 Municipal General - 2/26/19,Alderman 44th Ward,AUSTIN BAIDAS,3794
2,2019 Municipal General - 2/26/19,Alderman 44th Ward,ELIZABETH SHYDLOWSKI,1577
0,2019 Municipal General - 2/26/19,Alderman 45th Ward,MARILYN MORALES,1353
1,2019 Municipal General - 2/26/19,Alderman 45th Ward,JOHN S. ARENA,5382
2,2019 Municipal General - 2/26/19,Alderman 45th Ward,JAMES ''JIM'' GARDINER,7570
3,2019 Municipal General - 2/26/19,Alderman 45th Ward,ROBERT A. BANK,553
0,2019 Municipal General - 2/26/19,Alderman 46th Ward,MARIANNE LALONDE,2494
1,2019 Municipal General - 2/26/19,Alderman 46th Ward,ERIKA WOZNIAK FRANCIS,2324
2,2019 Municipal General - 2/26/19,Alderman 46th Ward,JUSTIN KREINDLER,545
3,2019 Municipal General - 2/26/19,Alderman 46th Ward,JAMES CAPPLEMAN,6082
4,2019 Municipal General - 2/26/19,Alderman 46th Ward,ANGELA CLAY,2127
5,2019 Municipal General - 2/26/19,Alderman 46th Ward,JON-ROBERT MCDOWELL,229
0,2019 Municipal General - 2/26/19,Alderman 47th Ward,EILEEN DORDEK,3373
1,2019 Municipal General - 2/26/19,Alderman 47th Ward,ANGELA ''ANGIE'' MALONEY,888
2,2019 Municipal General - 2/26/19,Alderman 47th Ward,HEATHER WAY KITZES,931
3,2019 Municipal General - 2/26/19,Alderman 47th Ward,MICHAEL A. NEGRON,4126
4,2019 Municipal General - 2/26/19,Alderman 47th Ward,MATT MARTIN,7586
5,2019 Municipal General - 2/26/19,Alderman 47th Ward,GUS KATSAFAROS,344
6,2019 Municipal General - 2/26/19,Alderman 47th Ward,THOMAS M. SCHWARTZERS,372
7,2019 Municipal General - 2/26/19,Alderman 47th Ward,KIMBALL LADIEN,75
8,2019 Municipal General - 2/26/19,Alderman 47th Ward,JEFF JENKINS,1602
0,2019 Municipal General - 2/26/19,Alderman 48th Ward,HARRY OSTERMAN,12442
1,2019 Municipal General - 2/26/19,Alderman 48th Ward,DAVID EARL WILLIAMS III,2415
0,2019 Municipal General - 2/26/19,Alderman 49th Ward,JOE MOORE,4514
1,2019 Municipal General - 2/26/19,Alderman 49th Ward,MARIA HADDEN,7820
0,2019 Municipal General - 2/26/19,Alderman 50th Ward,DEBRA L. SILVERSTEIN,6014
1,2019 Municipal General - 2/26/19,Alderman 50th Ward,ANDREW D ROWLAS,1678
2,2019 Municipal General - 2/26/19,Alderman 50th Ward,ZEHRA QUADRI,1442
0,2019 Municipal General - 2/26/19,Rent control-W01P01,Yes,219
1,2019 Municipal General - 2/26/19,Rent control-W01P01,No,99
0,2019 Municipal General - 2/26/19,Rent control-W01P17,Yes,208
1,2019 Municipal General - 2/26/19,Rent control-W01P17,No,68
0,2019 Municipal General - 2/26/19,Rent control-W01P20,Yes,175
1,2019 Municipal General - 2/26/19,Rent control-W01P20,No,59
0,2019 Municipal General - 2/26/19,Rent control-W01P24,Yes,168
1,2019 Municipal General - 2/26/19,Rent control-W01P24,No,64
0,2019 Municipal General - 2/26/19,Rent control-W01P26,Yes,140
1,2019 Municipal General - 2/26/19,Rent control-W01P26,No,55
0,2019 Municipal General - 2/26/19,Rent control-W01P30,Yes,223
1,2019 Municipal General - 2/26/19,Rent control-W01P30,No,108
0,2019 Municipal General - 2/26/19,CBA ordinance-W05P05,Yes,230
1,2019 Municipal General - 2/26/19,CBA ordinance-W05P05,No,29
0,2019 Municipal General - 2/26/19,Marijuana funds-W06P05,Yes,127
1,2019 Municipal General - 2/26/19,Marijuana funds-W06P05,No,14
0,2019 Municipal General - 2/26/19,Marijuana funds-W06P23,Yes,89
1,2019 Municipal General - 2/26/19,Marijuana funds-W06P23,No,13
0,2019 Municipal General - 2/26/19,Marijuana funds-W06P26,Yes,114
1,2019 Municipal General - 2/26/19,Marijuana funds-W06P26,No,23
0,2019 Municipal General - 2/26/19,CBA ordinance-W12P15,Yes,163
1,2019 Municipal General - 2/26/19,CBA ordinance-W12P15,No,27
0,2019 Municipal General - 2/26/19,CBA ordinance-W12P18,Yes,177
1,2019 Municipal General - 2/26/19,CBA ordinance-W12P18,No,29
0,2019 Municipal General - 2/26/19,Marijuana funds-W16P33,Yes,117
1,2019 Municipal General - 2/26/19,Marijuana funds-W16P33,No,17
0,2019 Municipal General - 2/26/19,Marijuana funds-W17,Yes,6367
1,2019 Municipal General - 2/26/19,Marijuana funds-W17,No,1047
0,2019 Municipal General - 2/26/19,CBA ordinance-W20P01,Yes,233
1,2019 Municipal General - 2/26/19,CBA ordinance-W20P01,No,27
0,2019 Municipal General - 2/26/19,CBA ordinance-W20P22,Yes,271
1,2019 Municipal General - 2/26/19,CBA ordinance-W20P22,No,60
0,2019 Municipal General - 2/26/19,CBA ordinance-W20P23,Yes,194
1,2019 Municipal General - 2/26/19,CBA ordinance-W20P23,No,21
0,2019 Municipal General - 2/26/19,CBA ordinance-W22P15,Yes,129
1,2019 Municipal General - 2/26/19,CBA ordinance-W22P15,No,13
0,2019 Municipal General - 2/26/19,Marijuana funds-W24P05,Yes,68
1,2019 Municipal General - 2/26/19,Marijuana funds-W24P05,No,9
0,2019 Municipal General - 2/26/19,Marijuana funds-W24P20,Yes,111
1,2019 Municipal General - 2/26/19,Marijuana funds-W24P20,No,18
0,2019 Municipal General - 2/26/19,Marijuana funds-W24P30,Yes,88
1,2019 Municipal General - 2/26/19,Marijuana funds-W24P30,No,4
0,2019 Municipal General - 2/26/19,CBA ordinance-W25,Yes,605
1,2019 Municipal General - 2/26/19,CBA ordinance-W25,No,65
0,2019 Municipal General - 2/26/19,Rent control-W26P02,Yes,178
1,2019 Municipal General - 2/26/19,Rent control-W26P02,No,46
0,2019 Municipal General - 2/26/19,Rent control-W26P06,Yes,129
1,2019 Municipal General - 2/26/19,Rent control-W26P06,No,65
0,2019 Municipal General - 2/26/19,Rent control-W26P08,Yes,64
1,2019 Municipal General - 2/26/19,Rent control-W26P08,No,38
0,2019 Municipal General - 2/26/19,Rent control-W26P09,Yes,121
1,2019 Municipal General - 2/26/19,Rent control-W26P09,No,46
0,2019 Municipal General - 2/26/19,Rent control-W26P12,Yes,164
1,2019 Municipal General - 2/26/19,Rent control-W26P12,No,60
0,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,JERRY JOYCE,40099
1,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,PAUL VALLAS,30236
2,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,WILLIE L. WILSON,59072
3,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,TONI PRECKWINKLE,89343
4,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,WILLIAM M. DALEY,82294
5,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,GARRY MCCARTHY,14784
6,2019 Municipal General - 2/26/19,Mayoral candidates 1-7,GERY CHICO,34521
0,2019 Municipal General - 2/26/19,Rent control-W26P24,Yes,124
1,2019 Municipal General - 2/26/19,Rent control-W26P24,No,44
0,2019 Municipal General - 2/26/19,Rent control-W26P40,Yes,109
1,2019 Municipal General - 2/26/19,Rent control-W26P40,No,28
0,2019 Municipal General - 2/26/19,Marijuana funds-W28,Yes,6547
1,2019 Municipal General - 2/26/19,Marijuana funds-W28,No,1203
0,2019 Municipal General - 2/26/19,Marijuana funds-W29P02,Yes,248
1,2019 Municipal General - 2/26/19,Marijuana funds-W29P02,No,41
0,2019 Municipal General - 2/26/19,Marijuana funds-W29P03,Yes,189
1,2019 Municipal General - 2/26/19,Marijuana funds-W29P03,No,31
0,2019 Municipal General - 2/26/19,Marijuana funds-W29P16,Yes,196
1,2019 Municipal General - 2/26/19,Marijuana funds-W29P16,No,17
0,2019 Municipal General - 2/26/19,Marijuana funds-W29P26,Yes,231
1,2019 Municipal General - 2/26/19,Marijuana funds-W29P26,No,21
0,2019 Municipal General - 2/26/19,Marijuana funds-W29P28,Yes,220
1,2019 Municipal General - 2/26/19,Marijuana funds-W29P28,No,26
0,2019 Municipal General - 2/26/19,Rent control-W45P11,Yes,154
1,2019 Municipal General - 2/26/19,Rent control-W45P11,No,56
0,2019 Municipal General - 2/26/19,Rent control-W45P15,Yes,275
1,2019 Municipal General - 2/26/19,Rent control-W45P15,No,149
0,2019 Municipal Runoffs - 4/2/19,Mayor,LORI LIGHTFOOT,386039
1,2019 Municipal Runoffs - 4/2/19,Mayor,TONI PRECKWINKLE,137765
0,2019 Municipal Runoffs - 4/2/19,Treasurer,MELISSA CONYEARS-ERVIN,296293
1,2019 Municipal Runoffs - 4/2/19,Treasurer,AMEYA PAWAR,202714
0,2019 Municipal Runoffs - 4/2/19,Alderman 5th Ward,LESLIE A. HAIRSTON,6849
1,2019 Municipal Runoffs - 4/2/19,Alderman 5th Ward,WILLIAM CALLOWAY,6673
0,2019 Municipal Runoffs - 4/2/19,Alderman 6th Ward,RODERICK T. SAWYER,5966
1,2019 Municipal Runoffs - 4/2/19,Alderman 6th Ward,DEBORAH A. FOSTER-BONNER,5151
0,2019 Municipal Runoffs - 4/2/19,Alderman 15th Ward,RAYMOND A. LOPEZ,3220
1,2019 Municipal Runoffs - 4/2/19,Alderman 15th Ward,RAFAEL ''RAFA'' YANEZ,2174
0,2019 Municipal Runoffs - 4/2/19,Alderman 16th Ward,STEPHANIE D. COLEMAN,3822
1,2019 Municipal Runoffs - 4/2/19,Alderman 16th Ward,TONI L. FOULKES,1958
0,2019 Municipal Runoffs - 4/2/19,Alderman 20th Ward,JEANETTE B TAYLOR,4557
1,2019 Municipal Runoffs - 4/2/19,Alderman 20th Ward,NICOLE J. JOHNSON,3075
0,2019 Municipal Runoffs - 4/2/19,Alderman 21st Ward,"HOWARD B. BROOKINS, JR.",7183
1,2019 Municipal Runoffs - 4/2/19,Alderman 21st Ward,MARVIN MCNEIL,6294
0,2019 Municipal Runoffs - 4/2/19,Alderman 25th Ward,BYRON SIGCHO-LOPEZ,5224
1,2019 Municipal Runoffs - 4/2/19,Alderman 25th Ward,ALEXANDER ACEVEDO,4414
0,2019 Municipal Runoffs - 4/2/19,Alderman 30th Ward,ARIEL E. REBOYRAS,4097
1,2019 Municipal Runoffs - 4/2/19,Alderman 30th Ward,JESSICA W. GUTIERREZ,3795
0,2019 Municipal Runoffs - 4/2/19,Alderman 31st Ward,MILAGROS SANTIAGO,3017
1,2019 Municipal Runoffs - 4/2/19,Alderman 31st Ward,FELIX CARDONA JR.,3584
0,2019 Municipal Runoffs - 4/2/19,Alderman 33rd Ward,ROSSANA SANCHEZ,5754
1,2019 Municipal Runoffs - 4/2/19,Alderman 33rd Ward,DEBORAH L. MELL,5741
0,2019 Municipal Runoffs - 4/2/19,Alderman 39th Ward,SAMANTHA ''SAM'' NUGENT,7469
1,2019 Municipal Runoffs - 4/2/19,Alderman 39th Ward,ROBERT MURPHY,5876
0,2019 Municipal Runoffs - 4/2/19,Alderman 40th Ward,PATRICK J. O'CONNOR,6431
1,2019 Municipal Runoffs - 4/2/19,Alderman 40th Ward,ANDRÃ‰ VASQUEZ,7509
0,2019 Municipal Runoffs - 4/2/19,Alderman 43rd Ward,MICHELE SMITH,7435
1,2019 Municipal Runoffs - 4/2/19,Alderman 43rd Ward,DEREK LINDBLOM,6444
0,2019 Municipal Runoffs - 4/2/19,Alderman 46th Ward,JAMES CAPPLEMAN,7079
1,2019 Municipal Runoffs - 4/2/19,Alderman 46th Ward,MARIANNE LALONDE,7054
0,2019 Municipal Runoffs - 4/2/19,Alderman 47th Ward,MATT MARTIN,11813
1,2019 Municipal Runoffs - 4/2/19,Alderman 47th Ward,MICHAEL A. NEGRON,7089
0,2011 Municipal Runoffs - 4/5/11,Alderman 6th Ward,RODERICK T. SAWYER,5109
1,2011 Municipal Runoffs - 4/5/11,Alderman 6th Ward,FREDDRENNA M. LYLE,5005
0,2011 Municipal Runoffs - 4/5/11,Alderman 15th Ward,TONI L. FOULKES,2437
1,2011 Municipal Runoffs - 4/5/11,Alderman 15th Ward,RAYMOND A. LOPEZ,1113
0,2011 Municipal Runoffs - 4/5/11,Alderman 16th Ward,JOANN THOMPSON,2062
1,2011 Municipal Runoffs - 4/5/11,Alderman 16th Ward,HAL E. BASKIN,1592
0,2011 Municipal Runoffs - 4/5/11,Alderman 17th Ward,LATASHA R. THOMAS,3192
1,2011 Municipal Runoffs - 4/5/11,Alderman 17th Ward,DAVID H. MOORE,2871
0,2011 Municipal Runoffs - 4/5/11,Alderman 20th Ward,WILLIE B. COCHRAN,2428
1,2011 Municipal Runoffs - 4/5/11,Alderman 20th Ward,CHE ''RHYMEFEST'' SMITH,2090
0,2011 Municipal Runoffs - 4/5/11,Alderman 24th Ward,MICHAEL D. CHANDLER,3314
1,2011 Municipal Runoffs - 4/5/11,Alderman 24th Ward,SHARON DENISE DIXON,2176
0,2011 Municipal Runoffs - 4/5/11,Alderman 25th Ward,CUAHUTEMOC MORFIN,3321
1,2011 Municipal Runoffs - 4/5/11,Alderman 25th Ward,DANIEL ''DANNY'' SOLIS,3970
0,2011 Municipal Runoffs - 4/5/11,Alderman 36th Ward,NICHOLAS SPOSATO,5651
1,2011 Municipal Runoffs - 4/5/11,Alderman 36th Ward,JOHN A. RICE,4423
0,2011 Municipal Runoffs - 4/5/11,Alderman 38th Ward,TIMOTHY M. CULLERTON,4761
1,2011 Municipal Runoffs - 4/5/11,Alderman 38th Ward,TOM CARAVETTE,3119
0,2011 Municipal Runoffs - 4/5/11,Alderman 41st Ward,MARY O'CONNOR,7354
1,2011 Municipal Runoffs - 4/5/11,Alderman 41st Ward,MAURITA E. GAVIN,7104
0,2011 Municipal Runoffs - 4/5/11,Alderman 43rd Ward,TIM EGAN,4697
1,2011 Municipal Runoffs - 4/5/11,Alderman 43rd Ward,MICHELE SMITH,4947
0,2011 Municipal Runoffs - 4/5/11,Alderman 45th Ward,JOHN GARRIDO,6053
1,2011 Municipal Runoffs - 4/5/11,Alderman 45th Ward,JOHN ARENA,6083
0,2011 Municipal Runoffs - 4/5/11,Alderman 46th Ward,MARY ANNE ''MOLLY'' PHELAN,4440
1,2011 Municipal Runoffs - 4/5/11,Alderman 46th Ward,JAMES CAPPLEMAN,5527
0,2011 Municipal Runoffs - 4/5/11,Alderman 50th Ward,BERNARD L. STONE,3746
1,2011 Municipal Runoffs - 4/5/11,Alderman 50th Ward,DEBRA L. SILVERSTEIN,5952
0,2011 Municipal General - 2/22/11,Mayor,RAHM EMANUEL,326331
1,2011 Municipal General - 2/22/11,Mayor,MIGUEL DEL VALLE,54689
2,2011 Municipal General - 2/22/11,Mayor,CAROL MOSELEY BRAUN,53062
3,2011 Municipal General - 2/22/11,Mayor,GERY J. CHICO,141228
4,2011 Municipal General - 2/22/11,Mayor,PATRICIA VAN PELT WATKINS,9704
5,2011 Municipal General - 2/22/11,Mayor,"WILLIAM WALLS, III",5343
0,2011 Municipal General - 2/22/11,Clerk,PATRICIA HORTON,217993
1,2011 Municipal General - 2/22/11,Clerk,SUSANA A. MENDOZA,324742
0,2011 Municipal General - 2/22/11,Treasurer,STEPHANIE D. NEELY,479919
0,2011 Municipal General - 2/22/11,Alderman 1st Ward,PROCO ''JOE'' MORENO,7243
1,2011 Municipal General - 2/22/11,Alderman 1st Ward,RONALD J. BALTIERRA,457
2,2011 Municipal General - 2/22/11,Alderman 1st Ward,DEBORAH LOPEZ,2147
0,2011 Municipal General - 2/22/11,Alderman 2nd Ward,GENITA C. ROBINSON,4484
1,2011 Municipal General - 2/22/11,Alderman 2nd Ward,BOB FIORETTI,8028
2,2011 Municipal General - 2/22/11,Alderman 2nd Ward,FEDERICO SCIAMMARELLA,623
3,2011 Municipal General - 2/22/11,Alderman 2nd Ward,JAMES A. BOSCO,162
4,2011 Municipal General - 2/22/11,Alderman 2nd Ward,MELISSA CALLAHAN,666
5,2011 Municipal General - 2/22/11,Alderman 2nd Ward,ENRIQUE G. PEREZ,648
0,2011 Municipal General - 2/22/11,Alderman 3rd Ward,EBONY TILLMAN,2931
1,2011 Municipal General - 2/22/11,Alderman 3rd Ward,PAT DOWELL,5997
0,2011 Municipal General - 2/22/11,Alderman 4th Ward,WILLIAM D. ''WILL'' BURNS,8577
1,2011 Municipal General - 2/22/11,Alderman 4th Ward,BRIAN SCOTT,961
2,2011 Municipal General - 2/22/11,Alderman 4th Ward,NORMAN H. BOLDEN,1250
3,2011 Municipal General - 2/22/11,Alderman 4th Ward,JAMES E. WILLIAMS,184
4,2011 Municipal General - 2/22/11,Alderman 4th Ward,GEORGE RUMSEY,637
5,2011 Municipal General - 2/22/11,Alderman 4th Ward,ADAM L. MIGUEST,388
6,2011 Municipal General - 2/22/11,Alderman 4th Ward,LORI S. YOKOYAMA,1276
0,2011 Municipal General - 2/22/11,Alderman 5th Ward,ANNE MARIE MILES,2499
1,2011 Municipal General - 2/22/11,Alderman 5th Ward,MICHELE A. TANKERSLEY,454
2,2011 Municipal General - 2/22/11,Alderman 5th Ward,LESLIE A. HAIRSTON,7250
3,2011 Municipal General - 2/22/11,Alderman 5th Ward,GLENN ROSS,835
4,2011 Municipal General - 2/22/11,Alderman 5th Ward,CAROL HIGHTOWER CHALMERS,705
0,2011 Municipal General - 2/22/11,Alderman 6th Ward,RODERICK T. SAWYER,3758
1,2011 Municipal General - 2/22/11,Alderman 6th Ward,FREDDRENNA M. LYLE,6696
2,2011 Municipal General - 2/22/11,Alderman 6th Ward,BRIAN E. SLEET,313
3,2011 Municipal General - 2/22/11,Alderman 6th Ward,SEKUM WALKER,343
4,2011 Municipal General - 2/22/11,Alderman 6th Ward,CASSANDRA GOODRUM-BURTON,950
5,2011 Municipal General - 2/22/11,Alderman 6th Ward,RICHARD A. WOOTEN,2985
0,2011 Municipal General - 2/22/11,Alderman 7th Ward,LIONELL R. MARTIN,472
1,2011 Municipal General - 2/22/11,Alderman 7th Ward,GREGORY I. MITCHELL,1550
2,2011 Municipal General - 2/22/11,Alderman 7th Ward,DARCEL A. BEAVERS,3239
3,2011 Municipal General - 2/22/11,Alderman 7th Ward,SIDNEY H. BROOKS,182
4,2011 Municipal General - 2/22/11,Alderman 7th Ward,DEBORAH WASHINGTON,342
5,2011 Municipal General - 2/22/11,Alderman 7th Ward,SANDI JACKSON,6560
0,2011 Municipal General - 2/22/11,Alderman 8th Ward,FAHEEM SHABAZZ,2215
1,2011 Municipal General - 2/22/11,Alderman 8th Ward,MICHELLE A. HARRIS,10395
2,2011 Municipal General - 2/22/11,Alderman 8th Ward,BERTHA F. STARKS,713
3,2011 Municipal General - 2/22/11,Alderman 8th Ward,JAMES L. DANIELS,1879
0,2011 Municipal General - 2/22/11,Alderman 9th Ward,HAROLD ''NOONIE'' WARD,2015
1,2011 Municipal General - 2/22/11,Alderman 9th Ward,ANTHONY A. BEALE,6392
2,2011 Municipal General - 2/22/11,Alderman 9th Ward,EDDIE M. REED,808
3,2011 Municipal General - 2/22/11,Alderman 9th Ward,SANDRA J. WALTERS,1795
0,2011 Municipal General - 2/22/11,Alderman 10th Ward,JOHN A. POPE,6342
1,2011 Municipal General - 2/22/11,Alderman 10th Ward,JOSEPH A. NASELLA,422
2,2011 Municipal General - 2/22/11,Alderman 10th Ward,"RICHARD L. MARTINEZ, JR.",3825
3,2011 Municipal General - 2/22/11,Alderman 10th Ward,JOSE R. LEON,112
0,2011 Municipal General - 2/22/11,Alderman 11th Ward,JAMES A. BALCER,6767
1,2011 Municipal General - 2/22/11,Alderman 11th Ward,JOHN K. KOZLAR,2460
2,2011 Municipal General - 2/22/11,Alderman 11th Ward,CARL SEGVICH,1799
0,2011 Municipal General - 2/22/11,Alderman 12th Ward,JESUS ''JESSE'' INIGUEZ,798
